gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
DLG4	CAPN5	rs78378222	rs56159348	1.1397294548780152
POLR2C	PSMB4	rs11863709	rs607518	2.4016608197359606
PIDD1	ABCC10	rs1881502	rs9472120	0.5344097652806369
CFAP221	NAPSA	rs111595856	rs76765083	0.4499863865323128
PEX14	ZBTB17	rs2847344	rs10803412	1.7300427762594208
AGXT	ABCG5	rs76832527	rs28514770	1.2659279753263277
SMG5	C1orf43	rs184104770	rs10127983	1.5528300904577603
DDR2	CCND3	rs6660538	rs4714485	2.669905833024047
CCL21	TBX1	rs10122495	rs1978060	2.404825512393642
PITPNB	MIEF1	rs9625483	rs34584683	1.1728057836467376
ELOVL2	GDNF	rs2018336	rs10941370	1.0149674150899062
HAUS4	POLR1A	rs1004030	rs2028900	0.7314184274435722
SH3GL2	HOXA13	rs34540271	rs6956484	1.8652362308998265
CD151	TMEM150A	rs1881502	rs2028900	1.3047199761977897
TMEM14B	UROD	rs2018336	rs544780844	0.4499863865323128
KRT6B	ALDH3B2	rs113925811	rs12785905	0.35998910922585026
AAAS	IFT122	rs187809440	rs35006112	2.514287813599033
SH3D19	SETD7	rs147762399	rs77821238	1.2747395606237792
POLDIP3	POLR2F	rs6003062	rs138708	3.300726810169679
NMNAT1	ZBTB17	rs2847344	rs10803412	0.23999273948390018
RPL3	CCT3	rs34584683	rs184104770	0.9490494263535478
KRT6B	DAGLA	rs113925811	rs2277283	1.5509994404419447
MRPL24	ERI3	rs80237341	rs544780844	3.076058339725609
LRRC41	MVB12B	rs544780844	rs12634	1.6942517651724105
RALGPS1	PARD3B	rs12634	rs12621900	0.47998547896780036
CAPN10	ZBTB17	rs76832527	rs10803412	1.403416192083745
BUB3	IQGAP3	rs12769682	rs80237341	2.1088172749760816
GMPPB	CDC6	rs34680713	rs11263763	1.451992275833784
THEM4	ZBTB7B	rs607518	rs56103503	1.968888135345876
MGP	KLK5	rs10845938	rs76765083	2.401850093007689
RAB7A	HCCS	rs35006112	rs17321482	1.2369381787049596
SPDL1	KIF2C	rs76551843	rs544780844	4.164913058388448
ATG13	PNPLA2	rs68010938	rs1881502	2.404634046295075
SLC3A2	AJUBA	rs2277283	rs1004030	0.4969020839226662
DDX10	RPUSD4	rs74911261	rs138466039	3.927231374499942
MGP	ENG	rs10845938	rs12634	2.3271749512731565
SLN	PANX3	rs74911261	rs138466039	0.9999956219745246
ACAT2	RTN4R	rs4646284	rs1978060	1.181183461716341
HELZ2	EIF3L	rs139135938	rs138708	0.9928983376540079
ROS1	NAPSA	rs339351	rs76765083	1.7359213613106923
VPS18	GNS	rs11561564	rs7968403	2.3826606049963024
SETDB1	PRPF3	rs607518	rs1811698	1.522358581040155
RPL26	EIF5A	rs28441558	rs78378222	2.7658290650657906
PGLS	RNH1	rs10412482	rs1881502	1.2680890913070724
ORC2	AAR2	rs1861270	rs6141551	2.2830449185803605
USP34	XRN1	rs11125927	rs7650602	1.8529019576776682
RMND5B	CANX	rs61739424	rs2672843	0.6479803966065305
DEFB4A	SPRR2B	rs870167	rs10127983	0.3479894722516553
RGS17	TGIF2	rs13215045	rs6141551	1.0819414604306277
VPS45	UBAP2L	rs1811698	rs10127983	1.3047567818874821
BPIFA1	SCGB1A1	rs11480453	rs2277283	0.8421250070858033
TRAPPC1	RAB7A	rs28441558	rs35006112	3.2440536109027853
BORCS6	ELP5	rs28441558	rs78378222	0.5399836638387754
PPIL6	SPA17	rs2038542	rs138466039	0.47998547896780036
POLR2F	NDUFB8	rs138708	rs12262998	0.9827649935866282
LRRC4B	DTX1	rs76765083	rs1270884	1.627527421608075
PPM1D	SESN1	rs12938538	rs2038542	1.7929940265993407
ERH	UBE2E1	rs17565772	rs7618603	1.8311295344176683
ATP6V1A	FAM126B	rs2271494	rs1861270	1.7538119414970685
TUBA1B	SMC2	rs56222401	rs4451364	2.630256322721527
SPDEF	CREB3L4	rs9469899	rs10127983	3.1971578397755094
TAF1B	PAK1IP1	rs73913932	rs2018336	1.4877403261191602
EIF4B	CAMLG	rs187809440	rs10793821	1.5326511119446573
GINS3	NUSAP1	rs11863709	rs11561564	3.1565863619653447
LPXN	MAP4K1	rs1048374	rs4802297	1.7249402588451193
LRRC32	ACVRL1	rs56159348	rs113925811	2.1317463782001074
KAZALD1	SMAD6	rs12262998	rs8023793	1.808976682918052
PSMG1	ATP1B3	rs61735792	rs7650602	0.5849823024920067
CLTC	XPO1	rs12938538	rs11125927	2.3941521162356563
CD33	RGS19	rs76765083	rs139135938	2.2705104016179654
CPSF3	LRPPRC	rs73913932	rs28514770	2.5833058363430954
DMC1	RAD51	rs138708	rs11561564	3.985443411416651
SSR2	RUSC1	rs184104770	rs147847496	0.7199782184517005
EI24	NPAT	rs138466039	rs74911261	0.9600119727401002
TAF10	TOLLIP	rs61890184	rs1881502	2.1761704416612657
MGARP	RGS4	rs77821238	rs6660538	1.3021945869964533
SLC25A36	PRKCI	rs7650602	rs2293607	1.1570150520755966
NIF3L1	CKS1B	rs1861270	rs56103503	0.9016178836921898
POLD4	JOSD2	rs12785905	rs76765083	2.3136652690397055
GNG2	ANGPT1	rs4901313	rs73700335	1.962744649107952
KRT71	KRT84	rs187809440	rs113925811	5.54363430323708
SEC23IP	FBXL20	rs10749415	rs3110641	0.7199782184517005
PPP1CA	PPP1R7	rs12785905	rs76832527	2.086166606537029
VPS45	RFX5	rs1811698	rs607518	0.49220128698761956
MXI1	GRK5	rs10885396	rs4558107	1.3468437571204865
SNRPC	COMMD1	rs9469899	rs11125927	1.940879974110161
TRAK2	GYPA	rs1861270	rs72725734	2.963032819859709
AR	SHROOM2	rs5919393	rs960417	0.6861797088475201
COX18	MRPL34	rs13142786	rs10412482	2.325111336266884
IL11RA	RCN3	rs10122495	rs2659051	1.388553360824991
CYB5R2	INPP5F	rs61890184	rs10749415	1.346211153284173
CPSF7	UBAP2L	rs2277283	rs10127983	1.652783292287811
MYO6	BAIAP2L1	rs9443189	rs4727386	2.6964193996814134
SCARF1	MDFI	rs684232	rs4714485	1.530226010364405
LUC7L3	TRRAP	rs138213197	rs4727386	2.9393441906935793
MEIS1	CACNB3	rs74702681	rs56222401	1.2237817241932425
BOC	CRABP2	rs2271494	rs80237341	0.9016178836921898
CITED1	KCNQ2	rs371707439	rs139135938	1.4630926131714943
PDAP1	PEX1	rs4727386	rs6955627	2.4470785904584074
ATG13	DEAF1	rs68010938	rs1881502	1.3948025663877748
VPS26B	TBRG1	rs878987	rs138466039	1.9572476570441952
XPO1	TARS2	rs11125927	rs1811698	0.5759825747613604
SIGMAR1	SRM	rs10122495	rs2847344	0.47998547896780036
POLR2C	STX5	rs11863709	rs2277283	0.9070331418175264
MBD4	POLR1A	rs35006112	rs2028900	2.381085772984716
ITGA3	GRB7	rs138213197	rs11263763	2.2160175823369777
ABCE1	GNPNAT1	rs72725734	rs4901313	2.118998233847722
LRRC59	SPAG9	rs138213197	rs2960158	2.977198839730868
TNS2	PLEKHH2	rs187809440	rs28514770	1.9083439546788676
AAAS	NDUFAF3	rs187809440	rs34680713	2.0213208410986443
TMEM98	SLC25A21	rs4795646	rs11849126	0.41998729409682534
MTX1	RBM6	rs147847496	rs34680713	0.7199782184517005
RAB13	CCND3	rs10127983	rs4714485	0.8198882598871073
PRCC	DAP3	rs80237341	rs184104770	2.97351290320988
MYO1C	RRAS	rs684232	rs2659051	2.432370431550467
SFTPB	SCGB1A1	rs2028900	rs2277283	1.2614921294129675
NUP155	TOR1AIP2	rs10941370	rs507603	3.0012893885548246
PTPRJ	STX3	rs68010938	rs1048374	3.285203870556228
ZC3H11A	TOR1AIP2	rs138638958	rs507603	1.9201371428044536
DNPH1	MRPS10	rs9472120	rs4714485	1.8916223201611162
DLL4	ARHGEF15	rs11561564	rs28441558	1.1555979685935298
HSD17B2	STARD8	rs8052913	rs5919393	0.5506724958561172
INPP5K	SMPD2	rs684232	rs2038542	2.864177788738862
PSMD11	CLTC	rs4795646	rs12938538	3.325643472426448
CLK2	PIP5K1A	rs147847496	rs607518	1.6307089928372673
SOBP	ANKH	rs2038542	rs71599622	0.9569602353247765
SIRPB2	CD68	rs6039055	rs78378222	2.195650154007495
SYNGR1	MVB12B	rs34584683	rs12634	2.15700256135237
LIG4	GID8	rs75823044	rs139135938	2.1762922179457207
MNAT1	IKZF5	rs8005621	rs12769682	1.799736694302251
MTOR	HECTD3	rs2847344	rs544780844	2.307816318801556
RERG	SYT12	rs10845938	rs12785905	1.5426207219519346
NDUFS8	UBXN1	rs12785905	rs2277283	0.5943132540912528
USP34	CLTC	rs11125927	rs12938538	2.0575451087013774
SQLE	IDI1	rs57588856	rs12781100	3.3909394499557113
TOE1	POLR1C	rs544780844	rs9472120	2.602789087787005
NLGN3	SLC16A8	rs371707439	rs138708	0.889260283220781
MAP4K1	ITGB7	rs4802297	rs187809440	1.266495053402711
PNKP	ACADVL	rs2659051	rs78378222	2.4366298037647227
SNX27	SCAMP3	rs607518	rs147847496	3.151036672195325
PGLYRP3	KRT4	rs10127983	rs187809440	0.3479894722516552
TEAD3	TNS2	rs9469899	rs187809440	1.1967079176786934
