gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
DLG4	CAPN5	rs28441558	rs11290954	1.1397294548780152
POLR2C	PSMB4	rs11859370	rs17599629	2.4016608197359606
BLVRB	HEBP1	rs11672691	rs2066827	0.5399836638387754
PIDD1	ABCC10	rs1881502	rs4711748	0.5344097652806369
ATOH1	CEACAM5	rs17021918	rs61088131	1.154444517859604
AGXT	ABCG5	rs3771570	rs1465618	1.2659279753263277
ARHGEF1	RASA2	rs61088131	rs6763931	3.1120904483759624
PITPNB	MIEF1	rs9625483	rs58133635	1.1728057836467376
HAUS4	POLR1A	rs1004030	rs10187424	0.7314184274435722
CD151	TMEM150A	rs1881502	rs10187424	1.3047199761977897
KRT6B	ALDH3B2	rs902774	rs12785905	0.35998910922585026
AAAS	IFT122	rs902774	rs10934853	2.514287813599033
KRT6B	DAGLA	rs902774	rs2277283	1.5509994404419447
MGP	KLK5	rs10845938	rs2735839	2.401850093007689
RAB7A	HCCS	rs10934853	rs2788524	1.2369381787049596
ATG13	PNPLA2	rs547171081	rs1881502	2.404634046295075
SLC3A2	AJUBA	rs2277283	rs1004030	0.4969020839226662
HLA-DRB1	TCF19	rs3129859	rs130067	1.4773159387870363
DDX10	RPUSD4	rs1800057	rs138466039	3.927231374499942
MGP	ENG	rs10845938	rs1182	2.3271749512731565
SLN	PANX3	rs1800057	rs138466039	0.9999956219745246
VPS18	GNS	rs4924487	rs7968403	2.3826606049963024
PGLS	RNH1	rs11666569	rs1881502	1.2680890913070724
VPS45	UBAP2L	rs17599629	rs34579442	1.3047567818874821
BPIFA1	SCGB1A1	rs11480453	rs2277283	0.8421250070858033
TRAPPC1	RAB7A	rs28441558	rs10934853	3.2440536109027853
PPIL6	SPA17	rs2273669	rs138466039	0.47998547896780036
LRRC4B	DTX1	rs2735839	rs1270884	1.627527421608075
PPM1D	SESN1	rs2680708	rs2273669	1.7929940265993407
ATP6V1A	FAM126B	rs7611694	rs59308963	1.7538119414970685
SPDEF	CREB3L4	rs9469899	rs34579442	3.1971578397755094
TAF1B	PAK1IP1	rs11902236	rs4713266	1.4877403261191602
EIF4B	CAMLG	rs902774	rs10793821	1.5326511119446573
GINS3	NUSAP1	rs11863709	rs4924487	3.1565863619653447
LRRC32	ACVRL1	rs11290954	rs902774	2.1317463782001074
KAZALD1	SMAD6	rs3850699	rs112293876	1.808976682918052
CD33	RGS19	rs2735839	rs2427345	2.2705104016179654
CPSF3	LRPPRC	rs11902236	rs1465618	2.5833058363430954
EI24	NPAT	rs138466039	rs1800057	0.9600119727401002
SLC25A36	PRKCI	rs6763931	rs10936632	1.1570150520755966
NIF3L1	CKS1B	rs59308963	rs1218582	0.9016178836921898
POLD4	JOSD2	rs12785905	rs2735839	2.3136652690397055
CA4	CEACAM3	rs2680708	rs61088131	1.9420815075511775
PPP1CA	PPP1R7	rs12785905	rs3771570	2.086166606537029
SNRPC	COMMD1	rs9469899	rs721048	1.940879974110161
AR	SHROOM2	rs5919432	rs2405942	0.6861797088475201
COX18	MRPL34	rs1894292	rs11666569	2.325111336266884
IL11RA	RCN3	rs10122495	rs2735839	1.388553360824991
CPSF7	UBAP2L	rs2277283	rs34579442	1.652783292287811
CD47	ZNF26	rs1283104	rs111599055	2.015169475743048
LUC7L3	TRRAP	rs138213197	rs6465657	2.9393441906935793
MEIS1	CACNB3	rs74702681	rs10875943	1.2237817241932425
CITED1	KCNQ2	rs4844289	rs2427345	1.4630926131714943
ATG13	DEAF1	rs547171081	rs1881502	1.3948025663877748
VPS26B	TBRG1	rs878987	rs138466039	1.9572476570441952
SIGMAR1	SRM	rs10122495	rs636291	0.47998547896780036
POLR2C	STX5	rs11859370	rs2277283	0.9070331418175264
MBD4	POLR1A	rs10934853	rs10187424	2.381085772984716
ITGA3	GRB7	rs138213197	rs4430796	2.2160175823369777
LRRC59	SPAG9	rs138213197	rs11650494	2.977198839730868
TNS2	PLEKHH2	rs902774	rs1465618	1.9083439546788676
TMEM98	SLC25A21	rs142444269	rs11629412	0.41998729409682534
MYO1C	RRAS	rs684232	rs2735839	2.432370431550467
SFTPB	SCGB1A1	rs10187424	rs2277283	1.2614921294129675
DLL4	ARHGEF15	rs4924487	rs28441558	1.1555979685935298
HSD17B2	STARD8	rs201158093	rs5919432	0.5506724958561172
INPP5K	SMPD2	rs684232	rs2273669	2.864177788738862
PSMD11	CLTC	rs142444269	rs2680708	3.325643472426448
CLK2	PIP5K1A	rs1218582	rs17599629	1.6307089928372673
SYNGR1	MVB12B	rs58133635	rs1182	2.15700256135237
PLBD2	MEGF8	rs1270884	rs61088131	0.3999878991398336
RERG	SYT12	rs10845938	rs12785905	1.5426207219519346
NDUFS8	UBXN1	rs12785905	rs2277283	0.5943132540912528
MAP4K1	ITGB7	rs8102476	rs902774	1.266495053402711
PNKP	ACADVL	rs2735839	rs28441558	2.4366298037647227
SNX27	SCAMP3	rs17599629	rs1218582	3.151036672195325
PGLYRP3	KRT4	rs34579442	rs902774	0.3479894722516552
TEAD3	TNS2	rs9469899	rs902774	1.1967079176786934
ASIC2	GRID2	rs142444269	rs17021918	2.0464143422199887
TNFRSF10A	BCAS3	rs2928679	rs2680708	2.4275043765252597
YAP1	LSP1	rs11568818	rs7127900	1.8965960801058817
SLC27A1	RNF130	rs11666569	rs4976790	0.7692526911001591
MTMR11	ASGR2	rs17599629	rs28441558	1.443786516083157
EFNA3	ERO1A	rs1218582	rs8008270	1.9558353802346935
PCBD2	PPP1R9B	rs10793821	rs138213197	0.7906495287762279
PKD2L1	ALOX15B	rs3850699	rs28441558	0.9981182196300301
AAAS	TUBA1C	rs902774	rs10875943	2.253037142943654
NAA38	PFDN5	rs28441558	rs902774	1.8250078275825037
FAIM2	RHO	rs10875943	rs10934853	1.0160832576408145
NXF1	RGS19	rs2277283	rs2427345	0.7199782184517005
ARHGAP1	INTS5	rs547171081	rs2277283	0.5399836638387754
EPN3	PPP1R1B	rs138213197	rs4430796	0.5999818487097505
NID2	ACVRL1	rs8008270	rs902774	0.4353356669707957
TBC1D9B	ERO1A	rs4976790	rs8008270	1.40133701015611
SF3B4	ARFGAP2	rs17599629	rs547171081	0.6479803966065305
ANP32E	CHTOP	rs17599629	rs34579442	0.8647957366619545
ST8SIA3	CDH20	rs28607662	rs12956892	0.46284314043323604
DLL4	IFNA2	rs4924487	rs17694493	2.9682896625854784
RFX5	INTS3	rs17599629	rs34579442	0.6311325185845328
TAF1	CDK13	rs4844289	rs17621345	3.458980533969411
TAGAP	PIK3R5	rs9364554	rs28441558	3.1925095170642837
MRPL27	NDUFB8	rs138213197	rs3850699	2.404823044966068
SEC63	XBP1	rs2273669	rs9625483	0.5072573811818799
VPS45	DENND4B	rs17599629	rs34579442	0.49220128698761956
ENDOU	KLK13	rs80130819	rs2735839	0.7655681882598212
SPICE1	GTPBP3	rs7611694	rs11666569	0.5999818487097505
RPS10	EIF3K	rs9469899	rs8102476	3.0927018140217197
GNLY	KRT72	rs10187424	rs902774	0.3119905613290702
IGF2R	BCL2L11	rs9364554	rs56366063	1.9443028863789356
DEF6	PLCB2	rs9469899	rs4924487	1.5123607178812635
NUAK2	AMIGO2	rs4245739	rs80130819	1.5912069610520443
NOL6	UBAP2L	rs10122495	rs34579442	1.6158712483337878
ARHGEF15	LCP2	rs28441558	rs76551843	2.331875494977877
DPYSL2	TUBA1A	rs11135910	rs10875943	1.419258845033388
NEUROD2	OPCML	rs4430796	rs878987	2.2363147996971007
ALOX12B	KRT77	rs28441558	rs902774	2.474904303747066
LRRC32	CXCL12	rs11290954	rs76934034	1.7594781403799464
POLE	E2F1	rs111599055	rs11480453	3.1956745748372724
DOK4	USB1	rs11859370	rs11863709	0.7199782184517005
GORASP2	KCNK6	rs12621278	rs8102476	1.1341406328303463
CDC42SE1	SENP3	rs17599629	rs28441558	0.7199782184517005
SDS	CYP2A7	rs1270884	rs11672691	2.5739554325338494
GNG2	TNFAIP8L2	rs8008270	rs17599629	0.7626738266646735
OIP5	SPDL1	rs4924487	rs76551843	1.9140225557273487
SLC24A2	GRID2	rs1048169	rs17021918	2.1052456152640175
LFNG	ABCC3	rs527510716	rs138213197	0.7553908579341349
RPS19	SMDT1	rs61088131	rs5759167	1.9077422184600579
PLG	SLC2A2	rs9364554	rs10936632	1.8963335427378623
ALB	SLC22A9	rs1894292	rs2277283	0.8519583723136795
SIGLEC7	PLVAP	rs2735839	rs11666569	1.4604881047677483
MRPL2	NDUFV1	rs4711748	rs12785905	2.1060724952452716
PAX2	DNAI1	rs3850699	rs10122495	1.517459618093214
PLEK2	PRSS3	rs7141529	rs10122495	0.5142701560369289
MRPL43	POLD4	rs3850699	rs12785905	3.1596127786225594
SF3B4	PCBP2	rs17599629	rs902774	3.320706128499795
B3GNT3	MALL	rs11666569	rs11691517	0.5399836638387754
PPP1R15B	SERTAD1	rs4245739	rs11672691	3.0101267645694256
NUDT1	PUS1	rs527510716	rs7295014	1.5071969092678765
RALGAPA1	SUPT16H	rs11629412	rs1004030	0.5273585217724495
UQCC2	POLR1C	rs9296068	rs4711748	1.8993287082626464
ACVRL1	RCN3	rs902774	rs2735839	2.2016109908945793
BLVRB	ST6GALNAC4	rs11672691	rs1182	1.825495220970805
ABCG8	MLN	rs1465618	rs9296068	1.7162332507080036
AARS2	GABARAP	rs4711748	rs28441558	0.7670728376254586
ZNF546	ATM	rs11672691	rs1800057	2.529666017839542
UNCX	IGFBP6	rs527510716	rs902774	1.5398674307926044
RAB11A	CHP1	rs112293876	rs4924487	2.6719870446924023
PIDD1	POLE	rs1881502	rs111599055	2.684669524656667
DLK2	ITGA6	rs4711748	rs34925593	2.3121984004495024
