gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
C2orf49	FBXO3	rs17697383	rs4755351	1.5883344730100712
HLA-DRB1	TCF19	rs115819854	rs2233956	1.4773159387870363
ELP3	BMP1	rs2741348	rs3816788	1.550939281108519
ITPR2	KDM5A	rs116901460	rs4619206	0.8951973779133406
ARHGEF5	MPZL2	rs146204659	rs61677309	0.20999364704841264
TRPA1	AHRR	rs12234934	rs3810859	1.0015126631910054
IQSEC3	GRM3	rs4619206	rs139328189	0.5759825747613604
DTWD1	MPI	rs7169304	rs62027346	2.361842702164475
IQGAP3	EXO1	rs116480793	rs144503462	0.6926576794579853
SAFB	CCAR2	rs72981884	rs3816788	2.4222674931677437
EXTL3	PLD3	rs2741348	rs56113850	0.7752051306579818
SLC22A6	SLC6A13	rs2072113	rs4619206	1.9941964111524655
PTPN9	ADD1	rs62027346	rs10016781	2.09344593601146
AHNAK	ZSCAN9	rs2072113	rs34662244	2.940949961276182
SNX13	PSMA2	rs3944100	rs2877187	1.5064506898243908
SECISBP2L	ZNF106	rs7169304	rs2439831	1.0819414604306277
TRIM35	REEP4	rs2741348	rs3816788	0.4319869310710203
ALDOB	CYP2B6	rs35440884	rs56113850	2.1097714028995265
MEF2D	PTK2B	rs116480793	rs2741348	2.281474566973894
SCGN	DLX1	rs13191296	rs1866631	0.9217228754401854
MRPL50	PSMA4	rs35440884	rs28408315	1.9839593632073038
CMAHP	TBC1D2B	rs35789010	rs55781567	0.8443446287006566
AKT2	ETAA1	rs56113850	rs76980472	2.4003059864497325
CAPN3	SFTPC	rs2439831	rs3816788	1.7015249002245536
PKLR	GOLGA6A	rs116480793	rs12439944	0.7199782184517005
ERC1	CCDC91	rs4619206	rs116901460	3.5591913746156063
GRM4	RHBG	rs114738294	rs116480793	1.4911373591980521
ASIC2	GRM3	rs140040369	rs139328189	1.0109424412084058
YWHAQ	COX5A	rs150954074	rs62027346	0.5399836638387754
TRPA1	CYP2S1	rs12234934	rs56113850	0.9961425311582459
C6orf15	TGM7	rs2233956	rs2439831	0.5399836638387754
ZNF106	TAF6L	rs2439831	rs2072113	0.9864129501804029
TRIP13	ESCO2	rs3810859	rs2741348	2.7132673712697484
SLC12A7	RPP25	rs79398649	rs62027346	0.5849823024920067
TRIM46	TMEM25	rs116480793	rs61677309	1.1540144503965073
LEMD2	ZNF207	rs114738294	rs140040369	1.8239451181492417
DLX2	ID2	rs1866631	rs150954074	2.2919665967487317
STRCP1	SPTBN4	rs2439831	rs56113850	0.5519833008129704
NOTCH4	AGER	rs147151648	rs144433536	2.93274158526358
RPS25	SF3B6	rs61677309	rs62140840	3.7154888253122396
SCGN	GPR6	rs13191296	rs13205254	0.8188706591284389
HMGN4	DDX6	rs36162392	rs61677309	1.984991085031464
TFB1M	FIG4	rs11751666	rs13205254	1.8252680244303652
VPS39	PTK2B	rs2439831	rs2741348	0.7126212623480613
METTL8	ORC2	rs1866631	rs55902839	2.316192007708218
PTPN9	MRPS11	rs62027346	rs17791430	2.0069598042564927
ACOT13	PSMA4	rs35789010	rs28408315	1.5464018954261083
RUSC1	ELL3	rs116480793	rs2439831	1.7610225751809305
ZKSCAN3	GMNN	rs67340775	rs35789010	3.2400516026224215
FBN1	CYP2S1	rs79040073	rs56113850	1.0409112422030562
UBE2Q2	UBE4A	rs62027346	rs61677309	4.417498578814854
DTNB	RCN1	rs6710503	rs4755351	0.7199782184517005
WASF1	SYNGAP1	rs13205254	rs114738294	2.123959442044961
SECISBP2L	TRAK2	rs7169304	rs55902839	0.7199782184517005
MYO1D	EPHX2	rs140040369	rs2741348	1.4598306210269743
