gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
SCNN1D	AMH	rs9442387	rs34357515	0.342846770691286
ATG3	TIMM8B	rs146917711	rs4936453	2.6662877411527472
SMARCA1	FBLN1	rs5932545	rs135573	1.4240042102360224
FLT3	HLX	rs78950910	rs12568748	0.9680642148891249
NOP16	ADAT2	rs17808848	rs199256	0.7199782184517005
POU2AF1	SCIMP	rs4936453	rs8069681	2.615348477988651
ESR1	ABCC4	rs57960590	rs1164587	1.355787791727522
USP34	MRPL32	rs70959845	rs9791676	2.2462047611154046
SLC25A11	TRPV1	rs8069681	rs11426758	1.0943062508549857
MXI1	GRK5	rs4918665	rs870274	1.3468437571204865
MYL1	PLA2G5	rs2371271	rs10627733	0.990589540152401
ETF1	CSNK1A1	rs79812184	rs376296328	2.987152581218976
SMC6	SLTM	rs75157307	rs7172033	0.7229950693065195
F10	MXRA8	rs78649302	rs9442387	1.674099810851255
ANAPC1	WRN	rs74828133	rs11451120	1.626283318684683
USP34	CLTC	rs70959845	rs12603880	2.0575451087013774
CBLN1	GABRD	rs59923016	rs9442387	0.8741591025148991
TMIGD1	APOA4	rs144055451	rs1791890	1.3752391880108883
HNRNPAB	ATAD3A	rs62397673	rs9442387	0.7992079293718847
NCAPG2	FIGNL1	rs142825068	rs56236040	2.811552881545006
ZMYND15	CDC42EP3	rs11426758	rs7559097	0.9662997081792593
MIB2	SPPL2B	rs9442387	rs34357515	2.7834484592636892
P2RX5	ANKRD13B	rs11426758	rs144055451	1.962622462876829
RNFT1	ARMT1	rs12603880	rs57960590	2.7487104086885057
MIB2	MAD1L1	rs9442387	rs6461701	0.900959839441164
RBPMS	BCO1	rs11451120	rs7206411	0.6318959807351159
POMP	NDUFA1	rs78950910	rs34350340	3.379075882272211
USP16	TAX1BP1	rs845930	rs11973028	1.8363777184673968
ZFHX3	NFIC	rs8060270	rs34357515	2.9916651703637918
ADAM10	TMEM87B	rs7172033	rs74828133	1.2740649111481837
UBE2G1	UBE2D2	rs11426758	rs79812184	4.7592984755328995
HIGD2A	B4GALT7	rs17808848	rs62397673	1.5206950501260563
WNT8A	GBX2	rs79812184	rs74917072	1.6514160187007825
AIG1	TTC8	rs199256	rs243172	0.5399836638387754
DZIP1	NRG1	rs1164587	rs11451120	2.21548219931339
CDC45	CDC25C	rs5993791	rs79812184	4.313084612281131
ATAD3A	RPAIN	rs9442387	rs8069681	1.1744832473158033
GABRD	CLDN5	rs9442387	rs5993791	1.7107537084503392
USP32	LRPPRC	rs12603880	rs13420007	0.7199782184517005
ANKRD13B	GPD1L	rs144055451	rs28568660	2.3518220399448135
WWOX	GCSH	rs11150225	rs7206411	0.4199872940968253
USP32	ETF1	rs12603880	rs79812184	2.631874552709389
SERPINB6	HLX	rs7748275	rs12568748	0.9569602353247765
CORO6	MYL1	rs144055451	rs2371271	3.28942351347382
CDC45	MZB1	rs5993791	rs79812184	1.8854025287163159
RMND5B	PRPF4B	rs62397673	rs7748275	2.622555306945758
SMC6	NSRP1	rs75157307	rs144055451	0.4525097041988626
GRIK1	PLA2G5	rs845930	rs10627733	1.1598168621547127
SSH2	GRK5	rs144055451	rs870274	1.7347698413797308
ENO3	MYOT	rs8069681	rs79812184	0.41998729409682534
BMPER	SERPINB9	rs7455465	rs7748275	1.5602525606392188
ADCY7	TNXB	rs59923016	rs72492309	0.6646162486643078
TXNRD2	UBE2F	rs5993791	rs74917072	0.5999818487097505
UBE2G1	KIF1C	rs11426758	rs8069681	0.7199782184517005
IYD	GRK1	rs57960590	rs78649302	1.5341522025447154
AMH	HGFAC	rs34357515	rs28734075	0.7156301305547674
SFXN1	RMND5B	rs17808848	rs62397673	0.9893883712283884
USP48	PUSL1	rs10627733	rs9442387	2.8985111248062867
TP53I13	DVL1	rs144055451	rs9442387	1.4240599812114312
PUS10	DYNC2LI1	rs70959845	rs13420007	0.7660006452902683
VHL	NOP14	rs1728807	rs28734075	1.2188231920980468
HNRNPAB	HIGD2A	rs62397673	rs17808848	0.8892052066783472
AIM2	CMPK2	rs3754464	rs12623068	0.31014446333304024
