gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
CACNA2D3	USP6NL	rs17759204	rs7068966	0.5895197962483196
PPARG	EREG	rs2442776	rs4585380	3.4887510825724872
CEP152	PLOD3	rs72731149	rs2897075	0.6599800335807255
WDR77	E2F3	rs629619	rs9350191	2.7201205118805114
ACTL6B	TUBA8	rs2897075	rs9617650	1.812936777112416
CLCNKA	LINGO1	rs9435731	rs55676755	1.1407539540883782
PF4	KALRN	rs4585380	rs4093840	2.5932477949163797
DOK4	BCAR1	rs8044657	rs4888379	3.290257710649489
IFNGR2	IRF2BP1	rs2096468	rs72626215	0.913420107391077
SLC6A1	SLC24A4	rs2442776	rs72699855	3.6765610697170144
BRAT1	ZSWIM5	rs798565	rs4660861	0.6611864480409391
LRRIQ4	TFR2	rs7642001	rs2897075	1.6585889391771418
LAMTOR4	SON	rs2897075	rs2096468	1.3028767416091465
RHOT1	PXYLP1	rs8080772	rs7650602	1.5046681924960827
CIAPIN1	WDR61	rs8044657	rs55676755	1.9251788667605447
RAB3GAP2	RRP15	rs11118406	rs3009947	0.4199872940968253
MYO1D	IFNGR2	rs8080772	rs2096468	0.684966373905654
SLC31A2	PXK	rs803923	rs62259026	1.0078198095375617
PPFIBP1	SDK2	rs11049386	rs11655567	4.026451928520272
FANCC	SLC39A11	rs10760580	rs11655567	0.7199782184517005
MMP15	TFDP2	rs8044657	rs7650602	0.7721795770479747
ZNF180	ZBTB24	rs72626215	rs2806356	3.0078253573193896
ARL3	CAMLG	rs1570221	rs62375246	1.2064476634215877
CYFIP2	CSNK1A1	rs10866659	rs10037493	2.5693315212440364
PCYOX1L	URB1	rs10037493	rs2096468	1.415365811398536
APPL1	AOC2	rs62259026	rs62065216	1.1862712372814532
TSC22D4	MUTYH	rs2897075	rs4660861	2.4434824142698597
PPT1	RNF220	rs76841360	rs4660861	1.9876243667361477
KCNA2	THSD4	rs629619	rs1441358	0.5039847529161904
FBXO7	CXCL3	rs73158393	rs4585380	0.8079016093874041
BMP8B	PLLP	rs76841360	rs8044657	1.3588947481039133
TRIM8	KAT6B	rs1570221	rs2579762	2.4588881120954467
