gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
IL12RB1	NCF4	rs4808801	rs738321	2.067170308882951
TTK	BUB1	rs12207986	rs71801447	2.9508420189687303
TRIAP1	COIL	rs206966	rs2787486	1.3397211529308657
PGLS	RNASEH2A	rs4808801	rs2594714	1.4089878792300805
SATB2	NT5C1A	rs1830298	rs4233486	0.47998547896780036
UQCRQ	DBI	rs6596100	rs4849887	0.9862915154610563
NDUFS6	MTMR12	rs3215401	rs2012709	1.2367354640354855
KIF11	CDK1	rs140936696	rs10995201	2.814410733639056
JPH3	VCAN	rs4496150	rs7707921	0.3818066309971139
RNF10	PABPC1	rs206966	rs514192	2.8215295417040798
TTC1	PSMD13	rs1432679	rs6597981	0.6133147786810782
PGLS	RNH1	rs4808801	rs6597981	1.2680890913070724
MAST3	GDPGP1	rs4808801	rs2290203	1.123370632417984
VPS45	UBAP2L	rs12048493	rs4971059	1.3047567818874821
PGLS	COPE	rs4808801	rs2965183	0.7199782184517005
COPE	LSM4	rs2965183	rs4808801	0.7199782184517005
CATSPER1	SLC27A1	rs3903072	rs4808801	1.9344255926605416
UQCRH	TOMM7	rs1707302	rs7971	0.9173905493832184
ADGRA2	NFIX	rs13365225	rs2594714	1.0504423238596314
REEP5	CALM1	rs6882649	rs941764	1.411393658394875
CETP	GPR4	rs2432539	rs71338792	1.6072802945516993
DNAJB1	MCL1	rs2594714	rs12048493	2.582617977517131
RPL37A	RPS24	rs16857609	rs704010	2.4665957174735755
NIF3L1	CKS1B	rs1830298	rs4971059	0.9016178836921898
CD81	SPPL3	rs3817198	rs206966	3.18251724221767
SF3B6	DFFA	rs6725517	rs616488	1.8597683987028246
MXI1	GRK5	rs7904519	rs11199914	1.3468437571204865
ARL2BP	CHD9	rs2432539	rs17817449	1.6370554731879023
PRC1	BUB1	rs2290203	rs71801447	3.776120409948515
ALKBH4	MIEF1	rs71559437	rs6001930	1.9853036660937406
ZNF226	ZSCAN26	rs3760982	rs9257408	2.9941582464710033
PIK3R2	GATAD2A	rs4808801	rs2965183	2.3994137477032003
PADI3	CLCA2	rs2992756	rs17426269	0.7199782184517005
TGFBR2	MAPK10	rs12493607	rs10022462	1.9613218172167461
TMEM98	SLC25A21	rs146699004	rs2236007	0.41998729409682534
EIF2S1	KLC1	rs2588809	rs10623258	1.2792097017353583
SMC2	CENPO	rs10759243	rs6725517	5.801401679273192
TNNI2	ANO9	rs3817198	rs6597981	0.5043795794668058
CYP51A1	ABCA1	rs6964587	rs10759243	2.2215026740153774
MTOR	HECTD3	rs616488	rs1707302	2.307816318801556
IGSF21	SYT6	rs2992756	rs11552449	0.5999818487097505
RERG	SYT12	rs12422552	rs3903072	1.5426207219519346
NCF4	LSP1	rs738321	rs3817198	2.1413333457432686
LRRN1	CRISPLD1	rs6762644	rs2943559	1.6492945883296202
KIF11	APOBEC3B	rs140936696	rs12628403	1.1440717402984921
BHLHE40	ZSCAN9	rs6762644	rs9257408	2.990528596966918
ANO1	ADAMTS8	rs75915166	rs7107217	0.7026697094539849
COL9A2	NFKBIA	rs4233486	rs2236007	0.29999092435487523
XPNPEP3	DDX17	rs6001930	rs12628403	1.625839258724479
ATPAF1	PABPC4	rs1707302	rs4233486	0.629980941145238
TBX3	MMP2	rs1292011	rs2432539	2.145663382053615
SHOC2	PRDX3	rs7904519	rs11199914	2.004092141476407
TMEM98	KDELR3	rs146699004	rs12628403	1.1747356105177913
COX6A1	COX6C	rs206966	rs514192	1.4089878792300805
SOX13	PXN	rs4951011	rs206966	1.6920460662320216
SSBP4	BRF1	rs4808801	rs10623258	2.7559967605469997
DNASE2	B4GAT1	rs2594714	rs3903072	2.349808921241762
GCDH	ARMC6	rs2594714	rs2965183	0.7199782184517005
CTSK	CCDC88C	rs12048493	rs941764	1.7899499986308782
RFX1	RELA	rs2594714	rs3903072	2.8972591300596484
RBPMS	BCO1	rs9693444	rs13329835	0.6318959807351159
CSPG5	CNIH2	rs6796502	rs3903072	2.129821850321518
MRPL21	FIBP	rs75915166	rs3903072	0.7199782184517005
IL6	IL12B	rs7971	rs1432679	4.163084905856898
SETDB1	FMO5	rs12048493	rs12405132	1.3978655601683234
EDEM1	ATXN7	rs6762644	rs1053338	1.643040586269461
HIPK2	L3MBTL3	rs11977670	rs6569648	2.622133125356079
ETHE1	EIF3L	rs3760982	rs738321	2.304438322493841
ZNF233	ZNF230	rs71338792	rs3760982	2.339419722359525
GTF2E2	UBE2Q1	rs9693444	rs4971059	2.382956010369619
RNF10	STRADB	rs206966	rs1830298	2.0878239024081173
LHX2	DLX1	rs10760444	rs1550623	2.7444963938422333
B3GNT3	MALL	rs4808801	rs71801447	0.5399836638387754
SAMSN1	FCGR1B	rs2823093	rs11249433	1.588461364543
TRAPPC6A	RPL18A	rs71338792	rs4808801	2.0561552871708937
GPR89A	MSTO1	rs12405132	rs4971059	0.47998547896780036
CAPN1	POLR2L	rs3903072	rs6597981	1.7607810065002456
GOLGA5	NRDE2	rs11627032	rs941764	1.0521780408686268
CCR5	DOCK2	rs6796502	rs4562056	2.5181343652218415
OLIG1	ST8SIA5	rs16992204	rs6507583	0.32399019830326525
MYCL	FGD6	rs4233486	rs17356907	0.5720894187667007
POLE3	ARPC5L	rs1895062	rs10760444	1.4429028444054857
PPARA	TST	rs28512361	rs738321	1.1269623184426332
BTG2	IFNAR2	rs4951011	rs16992204	2.18591621633815
GTPBP1	MIEF1	rs12628403	rs6001930	1.1898911401231107
MRPS35	MRPL21	rs7297051	rs75915166	4.678592274904231
TRIP13	CDK1	rs10069690	rs10995201	3.580382377327109
BTBD6	FAM83F	rs10623258	rs6001930	0.7199782184517005
GPBP1	RPS24	rs62355902	rs704010	1.6833222016993323
PMVK	HIBADH	rs4971059	rs17156577	1.7085363100377502
SP4	CHD1L	rs7971	rs12405132	0.5950678032368453
PADI1	CLCA4	rs2992756	rs17426269	0.7199782184517005
MAP1S	ATP13A1	rs4808801	rs2965183	0.8398806252938347
CDC42EP1	ARHGEF10L	rs738321	rs2992756	3.7443313086955454
EPB41L4A	ART4	rs6882649	rs12422552	1.2288297260320662
POLR2F	SLC25A17	rs738321	rs6001930	0.956141588638645
STRADB	NFIX	rs1830298	rs2594714	2.1285611707723957
NFYC	ATPAF1	rs4233486	rs1707302	0.4499863865323128
RIMS3	KCTD17	rs4233486	rs738321	1.9583706488330068
RAB3C	UNC13A	rs10472076	rs4808801	3.319621425460586
BLM	SMC2	rs2290203	rs10759243	3.593642378222977
CBLC	RAB25	rs71338792	rs4971059	0.931123442939408
TLR1	PIK3CD	rs6815814	rs616488	2.520216709772942
IDE	STT3B	rs140936696	rs12493607	2.6935249497122826
LCP2	IL2RB	rs4562056	rs738321	2.79443031943892
