PIK3CD	rs225132
NREP	rs225132
METTL23	rs225132
MSTO1	rs225132
TAF1B	rs225132
TRIM15	rs225132
PDE6H	rs225132
MIR4690	rs225132
PSORS1C3	rs225132
MPC2	rs225132
RBMS3-AS1	rs225132
SCN2B	rs225132
GZMA	rs1924553
KCTD1	rs1924553
LZTS1-AS1	rs1924553
LOC105376114	rs1924553
SCARNA28	rs1924553
SMCO3	rs1924553
PCOLCE2	rs1924553
MIR1913	rs1924553
LIMS3	rs1924553
DDB2	rs1924553
MIR6777	rs1924553
KRT17P5	rs1924553
STAU2-AS1	rs1924553
IFIT5	rs1924553
OR2A5	rs1924553
MSRB2	rs1924553
LINC01914	rs1924553
ATP6V1G1	rs1924553
PLXNC1	rs1924553
FES	rs1924553
SEC14L4	rs1924553
ATP5MC1	rs1924553
MIR143	rs1924553
NFRKB	rs1924553
GPR161	rs1924553
ZNF439	rs1924553
DYNLL1	rs1924553
TNRC6B	rs1924553
KCTD18	rs1924553
SPATA42	rs1924553
NANOS3	rs1924553
BICD2	rs1924553
FALEC	rs1924553
LOC101929297	rs1924553
ABCC13	rs1924553
DTD2	rs1924553
TTC6	rs1924553
KRTAP5-3	rs140850326
MIR329-1	rs140850326
MIR193A	rs140850326
H2BC4	rs140850326
EVI2A	rs12134245
IRF7	rs12134245
ETS1-AS1	rs12134245
CD177	rs12134245
MINAR2	rs12134245
PCGF5	rs12134245
MIR6889	rs12134245
LINC02585	rs12134245
NIPAL1	rs12134245
MXI1	rs12134245
MIR6809	rs12134245
LINC02189	rs12134245
ISOC2	rs612683
WDCP	rs612683
NOLC1	rs612683
IGSF21	rs612683
PTPRJ	rs612683
TMED8	rs612683
SLC40A1	rs612683
SNORD25	rs612683
ERI3-IT1	rs612683
N4BP2L1	rs612683
ZNF74	rs612683
MIR4512	rs612683
CDHR4	rs612683
RRNAD1	rs612683
GSDMC	rs612683
PLLP	rs612683
MEG9	rs612683
ADAMTS9	rs612683
RFPL1S	rs612683
H2BC15	rs612683
PTRHD1	rs612683
LOC105369140	rs612683
CEP162	rs707475
TMEM212-AS1	rs707475
CKM	rs707475
TTC1	rs707475
DENND1A	rs707475
LOC100505622	rs4233486
LINC00905	rs4233486
U2AF2	rs4233486
CDCA4	rs4233486
LOC101929748	rs4233486
IQCH	rs4233486
ASCL2	rs4233486
TCOF1	rs4233486
MAP3K20-AS1	rs4233486
WDR25	rs4233486
PIK3CD-AS2	rs4233486
ATPAF2	rs4233486
CCDC163	rs4233486
EPB41L5	rs4233486
TBC1D21	rs4233486
PARP4	rs4233486
MIR5089	rs4233486
ASGR1	rs4233486
RAD17	rs4233486
LINC01678	rs4233486
ZBTB7C	rs4233486
SFTA2	rs4233486
POMT1	rs4233486
BCAN	rs4233486
ENTHD1	rs4233486
LOC105371485	rs4233486
CPSF2	rs4233486
ST6GALNAC1	rs4233486
TRIM73	rs4233486
SNORA12	rs4233486
LINC00473	rs4233486
PNLIPRP2	rs4233486
L3MBTL2-AS1	rs4233486
RNF20	rs113319441
LINC00905	rs113319441
LINC00489	rs113319441
MIR185	rs113319441
TMEM201	rs113319441
MIR2276	rs113319441
ZNF93	rs113319441
SPATA17-AS1	rs113319441
SLC23A2	rs113319441
H3C3	rs113319441
SCTR	rs113319441
PSMA5	rs113319441
CAVIN1	rs113319441
SNX10	rs113319441
ALKBH3	rs113319441
VPS45	rs113319441
BRINP2	rs113319441
LTBP3	rs113319441
CCDC172	rs113319441
CEP41	rs113319441
ZNF596	rs113319441
FAM78A	rs144366570
VPS37A	rs144366570
LOC729966	rs144366570
IRX1	rs144366570
TMEM243	rs144366570
IQCH	rs144366570
MOB3A	rs144366570
KIR3DX1	rs144366570
ARMC4P1	rs144366570
SUSD3	rs144366570
LINC02428	rs144366570
ANKDD1B	rs144366570
MTERF1	rs144366570
CD300LD	rs144366570
CDK3	rs144366570
UBALD1	rs144366570
SLC16A12-AS1	rs144366570
KLHDC4	rs144366570
INSC	rs144366570
ARMH2	rs144366570
NRAV	rs144366570
WDR75	rs144366570
MIR548K	rs144366570
NBPF7	rs144366570
BEST4	rs144366570
CIB3	rs144366570
CALHM1	rs144366570
PER3	rs144366570
MIR6752	rs1707302
MIR943	rs1707302
GSK3A	rs1707302
VTI1B	rs1707302
VAC14-AS1	rs1707302
MRTFA	rs1707302
LOC102724084	rs1707302
LINC02648	rs1707302
MRGPRX4	rs1707302
ENOPH1	rs1707302
TAFA3	rs1707302
ZNF77	rs1707302
GTF2I	rs1707302
LATS1	rs1707302
CPSF4	rs1707302
SEC14L4	rs1707302
NFRKB	rs1707302
SKP1	rs1707302
MLANA	rs1707302
TECPR2	rs1707302
SNORD113-8	rs1707302
FAM225B	rs1707302
GSTP1	rs1707302
PHYHIP	rs1707302
ADAMTS19	rs1707302
UTS2	rs1707302
TTLL13P	rs1707302
MIR3184	rs1707302
HLA-V	rs140945602
FGFBP3	rs140945602
VTCN1	rs1514964
TAF13	rs1514964
ATP8B2	rs1514964
FLYWCH2	rs1514964
TMEM9	rs1514964
AIPL1	rs1514964
LINC01783	rs1514964
PCM1	rs1514964
SH2D2A	rs1514964
SUMO4	rs1514964
ASCL3	rs1514964
BEND3P3	rs1514964
PPP3R2	rs1514964
ZFR	rs1514964
PRMT6	rs1514964
OTOG	rs1514964
LOC100134391	rs1514964
PELI3	rs1415174
LINC00658	rs1415174
GPSM2	rs1415174
LINC01001	rs1415174
ALKBH3-AS1	rs1415174
MBOAT4	rs1415174
MRPL23	rs1415174
OPA3	rs1415174
LOC102725191	rs1415174
SNHG20	rs1415174
LINC01544	rs1415174
PPP2R3C	rs33960734
MIR8053	rs33960734
SFTPA1	rs33960734
LOC101929460	rs33960734
ADAM28	rs33960734
MIR877	rs33960734
TECTB	rs33960734
PADI2	rs33960734
SSTR1	rs5776993
C6orf15	rs5776993
SRP54-AS1	rs5776993
MIR4293	rs5776993
MRPS7	rs5776993
RNF212	rs5776993
C19orf53	rs5776993
CPLX3	rs5776993
CDC7	rs5776993
LUCAT1	rs5776993
MANBA	rs5776993
PITPNM1	rs5776993
TRIM15	rs5776993
PHIP	rs5776993
ARIH2	rs5776993
CDH13	rs5776993
POLR3A	rs5776993
EGLN3	rs5776993
CISD2	rs5776993
KDM4C	rs5776993
MTX1	rs5776993
POU5F1B	rs5776993
LOC101930370	rs5776993
MTOR-AS1	rs5776993
PP7080	rs5776993
MOG	rs5776993
APOC1	rs5776993
CD58	rs5776993
PRSS46P	rs5776993
MLANA	rs5776993
ERICH2	rs5776993
MIR6875	rs5776993
SNORD114-24	rs5776993
LINC00581	rs5776993
P4HA2-AS1	rs5776993
CCDC6	rs5776993
LOC101929141	rs5776993
GPX1	rs5776993
OR2B3	rs5776993
SOX13	rs5776993
C4orf51	rs5776993
SCARNA26A	rs5776993
CLCA3P	rs5776993
MIR152	rs1230666
MBOAT2	rs1230666
NPAS4	rs1230666
MIR5582	rs1230666
LOC101927365	rs1230666
TMEM169	rs1230666
MIR548AU	rs1230666
SPDYC	rs1230666
SNORD114-6	rs1230666
CLTCL1	rs1230666
SIRT4	rs1230666
MIR4639	rs1230666
NTRK1	rs1230666
LINC00661	rs1230666
PARVB	rs1230666
EEF1E1	rs1230666
LINC01842	rs1230666
FAM171B	rs11552449
CFAP410	rs11552449
ZNF597	rs11552449
ATXN10	rs11552449
LINC00910	rs11552449
ZNF484	rs11552449
TRPM5	rs11552449
PPIL1	rs11552449
CCT3	rs11552449
DOCK10	rs11552449
SNHG16	rs11552449
CD55	rs11552449
GOLGA6D	rs10923574
MIR6765	rs10923574
LINC00870	rs10923574
FXR2	rs200087884
LINC00928	rs200087884
SNORD13J	rs200087884
