gene_name_1	gene_name_2	snp_gene_1	snp_gene_2	weight
HOXC6	HOXA6	rs62623446	rs78823938	0.687206078470675
ING5	CDK5RAP3	rs12469459	rs78625142	2.5488886179262815
BECN1	BSG	rs11658582	rs892225	2.338593286179024
HOXA4	HOXB3	rs78823938	rs78625142	2.2370983727456024
LEMD2	TPRA1	rs62407927	rs2999076	0.6044394383706538
PLK5	SOHLH1	rs892225	rs117137535	0.7297182459647505
XRCC6	HNRNPM	rs9611573	rs2918300	2.7671644061978142
ANGPTL4	CSF3	rs2918300	rs140907835	2.088118664761415
ABI3	ADAMTS4	rs56308324	rs2070901	0.41998729409682534
HLA-DRB1	TCF19	rs9270911	rs34853064	1.4773159387870363
ANP32E	PFDN2	rs35665093	rs2070901	0.931123442939408
ANKRD16	PELI3	rs12722547	rs10791824	2.052337119612808
WDR18	DTYMK	rs892225	rs12469459	0.9019540998165956
GATA3	PMEL	rs7894791	rs705699	0.4434648446985112
C12orf43	RUNDC1	rs1696390	rs11658582	0.36915096524071467
G6PC	MOGAT2	rs11658582	rs2213020	1.7783888225023372
RNPEPL1	D2HGDH	rs141343442	rs12469459	1.6697074493691417
NPEPPS	ARL17A	rs10468514	rs1044977	0.5759825747613604
ARHGAP30	ARHGAP9	rs2070901	rs17547610	1.2652302741364538
TLR6	AKR1C3	rs75983064	rs12722547	2.031142362303285
NSMCE1	RABIF	rs8052566	rs12023876	0.5999818487097505
TBX21	THEMIS	rs10468514	rs55743914	1.339638486613417
RAB5B	NCSTN	rs705699	rs2070901	1.9131689773625848
SUSD5	JPH3	rs79337446	rs61584523	1.0246682054390945
MYO1F	LYVE1	rs2918300	rs7936275	0.3299900167903628
STAT5B	SUCO	rs11658582	rs78037977	2.2917284928732684
RPS10	ST13	rs62407927	rs9611573	1.429733548216913
PDCD1LG2	MGLL	rs12379291	rs2999076	1.3264893247080314
VPS45	RFX5	rs35665093	rs55875222	0.49220128698761956
USF1	CDC42SE1	rs2070901	rs35665093	2.1910006511066777
LAX1	NCKAP1L	rs12023876	rs62623446	3.653613613088833
BNIP2	DENND4A	rs34986765	rs28617673	0.8114560953229708
SCN2B	ABCG4	rs12365699	rs497916	1.478277529130766
LCE3D	SPRR2B	rs1199156	rs535153283	4.420529089142727
CLEC4M	TTC36	rs2918300	rs12365699	0.4679858419936053
LRRC59	SPAG9	rs56308324	rs28406364	2.977198839730868
NKIRAS2	P3H4	rs35142265	rs59843584	0.5759825747613604
HOXC11	DLX4	rs62623446	rs56308324	2.8795096935244757
ATF6	RPN1	rs2070901	rs2999076	0.5099845714032879
CD3E	ARHGAP9	rs12365699	rs17547610	2.3320988191610144
SNRPE	PIGC	rs12023876	rs78037977	2.700641013375777
FASLG	SLAMF6	rs78037977	rs2070901	2.3763401001183713
CAPN10	MFF	rs141343442	rs1811711	2.567231010955793
COPA	COPZ1	rs2070901	rs62623446	4.840958047976657
MPZ	ERBB3	rs2070901	rs705699	1.3990675109125972
RAMP2	LYVE1	rs11658582	rs7936275	1.3253051281522912
SEC61A1	EZH1	rs2999076	rs11658582	1.3167067213816537
RNPEPL1	RNF166	rs141343442	rs61584523	2.7549206660019543
GIP	SLC2A7	rs56308324	rs10864360	0.5399836638387754
ERCC6L2	GOLPH3L	rs150707349	rs35665093	0.5759825747613604
SLC9C2	CERS4	rs11811856	rs2918300	0.7199782184517005
AFF4	WDR36	rs7713065	rs7730817	2.024391512723226
KCNK7	KRT10	rs10791824	rs140907835	0.6045627767171826
MRPS28	SNRPE	rs4739738	rs12023876	2.258700107655889
ANP32E	CHTOP	rs35665093	rs535153283	0.8647957366619545
CIRBP	D2HGDH	rs892225	rs12469459	0.7402608794726351
LRRC32	LYVE1	rs61892804	rs7936275	1.1151381573574626
SOX13	PXN	rs12023876	rs11065286	1.6920460662320216
SP4	TOMM7	rs10244416	rs6954667	0.7229950693065195
UTP18	SNF8	rs28406364	rs78625142	1.8779561646476024
GPR84	FCGR2B	rs62623446	rs2070901	2.070649603849021
RFX5	INTS3	rs55875222	rs535153283	0.6311325185845328
GTF3C1	TARS2	rs75763833	rs35665093	3.279131943475452
IFT46	COQ5	rs12365699	rs1696390	0.39598802014843526
MCEMP1	SLC22A4	rs2918300	rs7713065	3.523785748440052
KRT35	KRTAP9-8	rs112037479	rs12600751	4.884220218593447
CERS4	DLX4	rs2918300	rs56308324	0.4319869310710203
VPS45	DENND4B	rs35665093	rs535153283	0.49220128698761956
FARSB	NDUFA10	rs6755248	rs141343442	2.399847106702472
BNIP2	BECN1	rs34986765	rs11658582	2.1600986153194652
PRAM1	AZU1	rs2918300	rs892225	2.6419552708979275
ST13	HNRNPA1	rs9611573	rs62623446	0.6217993704810141
MBD6	MSL1	rs17547610	rs140907835	3.0309838155389603
EFNA2	MSI1	rs892225	rs11065286	1.473481854361871
CTU2	ABHD17A	rs61584523	rs892225	1.3277093384112362
CAMSAP3	PPP1R26	rs2918300	rs117137535	1.3129437138651525
PAX3	HOXB1	rs6755248	rs78625142	2.9048021184455184
SLC2A5	FCGR2B	rs10864360	rs2070901	2.0049058124682313
ATF6	PIGC	rs2070901	rs78037977	0.5099845714032879
PRKCQ	FAM83F	rs10737105	rs9611573	2.0537589059191204
FCGR2B	GNGT2	rs2070901	rs56308324	2.105978721311167
L3MBTL2	MED24	rs9611573	rs140907835	2.609905087467182
TIPIN	GMPS	rs28617673	rs13097957	1.4685901601216935
PDE1B	PRAM1	rs62623446	rs2918300	2.209724280657619
RAB11A	CHP1	rs28617673	rs1965139	2.6719870446924023
PRDM1	NFKBIA	rs9372120	rs17103286	2.47185466395337
HMCES	JUP	rs2999076	rs150597587	2.0183933791928235
RPL27	PARK7	rs11658582	rs10864360	2.0597062788441707
PFDN2	PARK7	rs2070901	rs10864360	2.1325849410879045
LIN28B	RHBDD1	rs35342892	rs1811711	2.333286864349818
SNAPC5	ENO1	rs28617673	rs10864360	1.6016736122311452
KRTAP4-11	KRT34	rs76144645	rs112037479	5.056690762102277
HOXC11	HOXB9	rs62623446	rs78625142	1.8047776200261234
GTF2A2	DYNLL1	rs34986765	rs1696390	1.5125566253996605
CENPL	PIGC	rs11811856	rs78037977	0.7199782184517005
PNPO	NBR1	rs78625142	rs11658582	0.8806174245188003
CUTA	CFL1	rs62407927	rs10791824	1.1969361415029232
SPRR1A	S100A8	rs115813648	rs535153283	0.7674351745428961
AZU1	SLC22A4	rs892225	rs7713065	1.8156813894620802
KRT14	CRNN	rs3764354	rs61816761	0.29570533972123414
HRNR	LCE3A	rs1552994	rs1199156	2.267243799885376
YIF1A	UQCR11	rs10791824	rs892225	0.7199782184517005
SNRPE	HNRNPA1	rs12023876	rs62623446	3.1824001742385937
KLB	HNF1A	rs75983064	rs1696390	1.3322819894913254
KRTAP4-4	KRT33A	rs76144645	rs145835664	5.185505010605825
DAZAP1	UBP1	rs892225	rs79337446	2.6230774337098994
TM9SF2	B4GAT1	rs4772189	rs10791824	0.7199782184517005
GDI2	ARCN1	rs12722547	rs12365699	2.7448282873454843
PPFIA4	KDM4C	rs12023876	rs1929933	1.4673922627384726
FARP2	AP1S3	rs12469459	rs6755248	1.0505429558083441
SLC39A1	MRPL49	rs535153283	rs10791824	0.5399836638387754
IL6	IL1R1	rs6954667	rs17775170	3.7275844828343123
CDC42SE1	TOMM40L	rs35665093	rs2070901	0.5399836638387754
HOXA4	HOXC10	rs78823938	rs62623446	1.375070586073796
PRDX6	GSPT1	rs11811856	rs6498169	1.6033178060265427
TOMM7	TAX1BP1	rs6954667	rs78823938	0.691556392110724
FCGR2A	PTPN7	rs2070901	rs12023876	1.6027757441731305
APH1A	CREB3L4	rs35665093	rs535153283	1.7832417638172884
NCKAP1L	FCGR2B	rs62623446	rs2070901	3.2940864361463875
PIP4K2C	RAG1	rs17547610	rs10836538	1.325902667940698
COPA	GOLPH3L	rs2070901	rs35665093	3.5717053554935827
SBNO2	GJD3	rs892225	rs140907835	0.4499863865323128
SGSM3	POLR2E	rs9611573	rs892225	1.0416471150067357
SREBF2	BAZ2A	rs9611573	rs3024971	2.2257463163928675
HYOU1	SHMT2	rs497916	rs17547610	1.584221618722666
TBX21	MEI1	rs10468514	rs9611573	0.4274870672056972
SLAMF1	SGPP2	rs2070901	rs6755248	1.4193065061873082
ITLN1	CDH19	rs2070901	rs12964116	1.2423314067852838
IVL	SERPINB2	rs115813648	rs4574025	0.7134532370751927
MFF	ATG4B	rs1811711	rs12469459	0.4799854789678003
TNKS2	AKAP11	rs7918084	rs912425	1.6793340948446034
ADCY7	TNXB	rs2066844	rs2395141	0.6646162486643078
SNAPC2	PMM1	rs2918300	rs9611573	3.261871697627634
PDK2	PALM	rs56308324	rs892225	0.6655671995556439
TPD52	PPFIA4	rs4739738	rs12023876	1.474019629994392
RAB5B	COQ10A	rs705699	rs3024971	0.5999818487097505
CAMSAP3	CGN	rs2918300	rs55875222	0.6909113553718326
CELF3	KIF1A	rs55875222	rs34290285	0.8367144215237372
GDI2	USP21	rs12722547	rs2070901	1.0447982665611106
TSKU	AKR1C2	rs7106446	rs12722547	1.9562079863923214
CALML5	S100A7	rs12722547	rs535153283	2.520277333649193
CA10	STMN2	rs28406364	rs4739738	1.1451274041665376
HCRT	GABRR1	rs35142265	rs207270	2.11472207333676
KRT33B	KRTAP4-9	rs112037479	rs75097049	3.1347661010212207
CIITA	IRF1	rs17804800	rs7713065	3.3538988182488128
EAPP	ILF2	rs17103286	rs535153283	3.0731200337046043
PAN2	COQ5	rs3024971	rs1696390	1.029019445952476
RETN	S100A12	rs2918300	rs535153283	1.8539387829967926
DCAF8	PI4KB	rs2070901	rs35665093	1.3955326295743933
CALCOCO1	BBS1	rs62623446	rs10791824	0.7309724456695379
PSMD3	NT5C3B	rs140907835	rs141908043	3.961766148431592
SYNGAP1	DENND4B	rs62407927	rs535153283	4.774184121361753
COPA	ILF2	rs2070901	rs535153283	3.253376033420343
MYBPH	MYL4	rs12023876	rs1552458	2.354313204171758
SP6	NKD1	rs78625142	rs2066844	1.6736910703922854
INO80	RAB7A	rs1965139	rs2999076	1.9136686900145716
SNU13	COA3	rs9611573	rs11658582	2.063817763274831
PNPO	TUBG1	rs78625142	rs11658582	0.6799794285377172
FCGR3B	NFE2	rs2070901	rs62623446	1.6703535898780077
UBE2T	ILF2	rs12023876	rs535153283	0.9585302517545459
MCHR1	SP6	rs9611573	rs78625142	0.8655531683445021
KLHL20	DEDD	rs11811856	rs2070901	0.9205738429693673
DPF2	RPRD2	rs10791824	rs35665093	0.46284314043323604
MCHR1	KCNE4	rs9611573	rs6755248	1.5435351260865517
KLC2	SLC39A7	rs10791824	rs3130169	1.3283466664469517
IL1RL2	CST6	rs17775170	rs10791824	1.3329024946128332
NCSTN	ATF7	rs2070901	rs62623446	1.4067402062347765
ANKRD1	SGCA	rs7918084	rs56308324	1.8703481556547743
ECHDC1	ATG5	rs6918558	rs9372120	2.2442493536616737
ST13	GSPT1	rs9611573	rs6498169	1.429733548216913
TM7SF2	REEP6	rs10791824	rs892225	0.27681068095475436
SYVN1	SLC35B1	rs10791824	rs56308324	2.018283434265421
KRT28	LY6G6D	rs140907835	rs1799964	0.5999818487097505
MBD6	WIPF2	rs17547610	rs140907835	0.7199782184517005
CD248	S100A4	rs10791824	rs535153283	0.35998910922585026
KIF3A	GPR157	rs7713065	rs10864360	0.629980941145238
INTS3	MBOAT1	rs535153283	rs6905736	1.5108283597754497
ITGB8	ABCB5	rs3757727	rs10244416	1.3846282825851532
MYO1F	NFE2	rs2918300	rs62623446	0.807493834084982
KLB	ITIH2	rs75983064	rs7894791	0.5999818487097505
ZFPM1	BTBD2	rs61584523	rs892225	1.7684655926169328
MRPL27	VPS25	rs56308324	rs11658582	2.1685808507767597
ZNF317	STK25	rs2918300	rs12469459	0.7032619492799079
CALCOCO1	NBR1	rs62623446	rs11658582	0.9801064362308296
FASLG	GZMM	rs78037977	rs892225	0.5759825747613604
GIP	PRM1	rs56308324	rs6498169	0.5399836638387754
IL1RL2	NPR1	rs17775170	rs535153283	1.8607587160988586
KRTAP3-3	KRTAP4-9	rs140907835	rs75097049	1.3297483976344362
GCNT3	EFNA2	rs34986765	rs892225	0.5279840268645803
LPP	TNRC6B	rs55661102	rs9611573	0.2879912873806802
MRPL10	PHB	rs78625142	rs56308324	1.577753086628694
CDC42SE1	OAZ3	rs35665093	rs55875222	1.0400232241695668
ABI3	ARHGAP9	rs56308324	rs17547610	0.873850187947875
KPNB1	MSL1	rs10468514	rs140907835	2.560129798704848
RDH12	LCE1A	rs2208397	rs72702900	1.2877889290992597
GRM4	CHST8	rs62407927	rs117710327	0.3399897142688586
KRTAP16-1	KRT39	rs145835664	rs140907835	5.185505010605825
CIITA	TLR10	rs17804800	rs5743597	2.223047778215231
LCE3D	KRT10	rs1199156	rs140907835	4.649813947827184
CDC27	SPOP	rs1552458	rs56308324	3.881860264798437
KDM8	POLR2E	rs8052566	rs892225	2.176872019741814
